x,y
-13796,15942
-13802,15958
-13812,15976
-13824,15990
-13845,16008
-13886,16031
-14056,16093
-14124,16105
-14138,16105
-14147,16103
-14156,16100
-14162,16097
-14166,16094
-14169,16091
-14172,16085
-14173,16082
-14174,16079
-14174,16076
-14173,16072
-14172,16068
-14171,16066
-14168,16062
-14162,16057
-14155,16053
-14134,16045
-14079,16045
-14035,16053
-14016,16060
-14002,16068
-13992,16076
-13984,16086
-13978,16096
-13974,16106
-13972,16117
-13972,16130
-13975,16145
-13979,16157
-13985,16168
-13997,16182
-14016,16198
-14050,16218
-14139,16250
-14225,16265
-14248,16265
-14256,16264
-14264,16261
-14267,16259
-14270,16256
-14274,16251
-14276,16247
-14277,16244
-14277,16242
-14277,16235
-14276,16231
-14274,16227
-14272,16223
-14269,16219
-14263,16214
-14253,16208
-14215,16194
-14163,16194
-14132,16200
-14097,16213
-14064,16232
-14052,16242
-14044,16251
-14038,16261
-14035,16270
-14033,16283
-14033,16294
-14035,16304
-14040,16317
-14047,16329
-14057,16341
-14072,16354
-14101,16371
-14191,16404
-14287,16421
-14301,16421
-14311,16419
-14321,16415
-14327,16412
-14331,16408
-14332,16407
-14334,16404
-14335,16401
-14335,16399
-14335,16395
-14334,16387
-14331,16380
-14328,16374
-14322,16367
-14298,16347
-14272,16332
-14245,16322
-14194,16322
-14168,16327
-14150,16334
-14131,16345
-14107,16365
-14080,16398
-14050,16451
-14045,16464
-14043,16473
-14043,16485
-14045,16499
-14050,16513
-14058,16527
-14071,16543
-14099,16567
-14180,16614
-14283,16652
-14305,16656
-14318,16656
-14326,16655
-14333,16652
-14337,16649
-14342,16645
-14345,16641
-14348,16635
-14376,16558
-14384,16511
-14384,16481
-14380,16456
-14372,16435
-14362,16417
-14350,16402
-14329,16384
-14131,16384
-14083,16392
-14055,16402
-14038,16412
-14028,16421
-14018,16432
-14010,16445
-14001,16470
-13990,16535
-13990,16579
-13994,16604
-13999,16618
-14006,16630
-14014,16640
-14032,16655
-14058,16670
-14130,16696
-14246,16717
-14267,16717
-14278,16715
-14291,16710
-14303,16703
-14318,16690
-14334,16670
-14352,16638
-14379,16565
-14404,16425
-14404,16382
-14401,16366
-14396,16352
-14390,16342
-14385,16336
-14375,16328
-14362,16320
-14330,16308
-14141,16308
-14098,16316
-14071,16326
-14056,16335
-14047,16343
-14039,16352
-14033,16362
-14029,16372
-14027,16382
-14027,16392
-14029,16405
-14045,16449
-14062,16479
-14080,16500
-14099,16516
-14118,16527
-14147,16538
-14218,16550
-14348,16550
-14377,16545
-14396,16538
-14415,16527
-14436,16509
-14457,16484
-14478,16447
-14479,16443
-14480,16440
-14480,16436
-14479,16431
-14478,16428
-14476,16425
-14473,16422
-14467,16417
-14458,16412
-14447,16408
-14413,16402
-14214,16402
-14167,16410
-14140,16420
-14124,16429
-14111,16440
-14102,16451
-14095,16464
-14092,16473
-14090,16486
-14090,16498
-14092,16509
-14097,16521
-14104,16534
-14115,16547
-14144,16571
-14172,16587
-14204,16599
-14275,16612
-14390,16612
-14421,16607
-14428,16604
-14433,16601
-14439,16596
-14443,16591
-14446,16586
-14447,16583
-14448,16580
-14448,16575
-14447,16570
-14445,16565
-14443,16561
-14440,16558
-14439,16557
-14433,16553
-14420,16548
-14388,16542
-14202,16542
-14161,16549
-14137,16558
-14119,16568
-14106,16579
-14097,16590
-14091,16601
-14088,16610
-14086,16623
-14086,16633
-14088,16643
-14092,16653
-14099,16665
-14107,16675
-14119,16685
-14137,16695
-14175,16709
-14247,16722
